Название;Артикул
Орнамент  68015;68015
Карниз с узорчатой резьбой L=2,44м. C 1036-8;C 1036-8 выв.
Молдинг L=2,44м. CR 518-8;CR 518-8 выв.
Розетка потолочная R 305;R 305 выв.
Розетка потолочная R 338;R 338 выв.
Розетка потолочная R 350;R 350 выв.
Розетка потолочная R 371;R 371 выв.
Декоративное панно W 801;W 801 выв.
Декоративное панно W 803;W 803 выв.
Декоративное панно W 805;W 805 выв.
Декоративная ниша   N 731;N 731 выв.
Декоративная ниша   N 732;N 732 выв.
Декоративная ниша   N 734;N 734 выв.
Декоративная ниша   N 736;N 736 выв.
Купол DM 3510;DM 3510  выв.
Кессон потолочный R 4045;R 4045 выв.
Кессон потолочный R 4013;R 4013 выв.
Кессон потолочный R 4014;R 4014 выв.
Бордюр круглый  LR 166;LR 166 выв.
Бордюр круговой LR 167;LR 167 выв.
Бордюр круглый   LR 168;LR 168 выв.
Кронштейн B 971;B 971 выв.
Кронштейн B 978;B 978 выв.
Кронштейн B 979;B 979 выв.
Колонна (основание)  L 913 (3);L 913 (3) выв.
Колонна (тело)  L 913 (2);L 913 (2) выв.
Колонна (капитель)  L 913 (1);L 913 (1) выв.
Колонна (капитель)  L 930 (1);L 930 (1) выв.
Колонна (тело)  L 930 (2);L 930 (2) выв.
Колонна (основание)  L 930 (3);L 930 (3) выв.
Полуколонна (тело)  L 940 (2);L 940 (2) H выв.
Колонна (основание)  L 931 (3);L 931 (3) выв.
Полуколонна (капитель)  L 940 (1);L 940 (1) H выв.
Полуколонна (основание)  L 940 (3);L 940 (3) H выв.
Элемент дверных бордюров D 583;D 583 выв.
Элемент дверных бордюров D 582 (компл. 2шт.);D 582 выв.
Кронштейн B 857;B 857 выв.
Пилястр PL 558 R (капитель);PL 558 R выв.
Карниз с гладким профилем L=2,44м. P 232-8;P 232-8 выв.
Карниз с гладким профилем L=2,44м. P 2016-8;P 2016-8 выв.
Карниз с гладким профилем L=2,44м. P 2026-8;P 2026-8 выв.
Карниз с гладким профилем L=2,44м. P 2031-8;P 2031-8 выв.
Карниз с гладким профилем L=2,44м. P 208-8;P 208-8 выв.
Молдинг L=2,44м. CR 681-8;CR 681-8 выв.
Карниз с гладким профилем L=2.44м. P 133-8;P 133-8 выв.
Молдинг L=2,44м. CR 516-8;CR 516-8 выв.
Карниз с гладким профилем L=2,44м. P 220-8;P 220-8 выв.
Карниз с гладким профилем L=2,44м. P 134-8;P 134-8 выв.
Карниз с узорчатой резьбой L=2,44м. C 158-8;C 158-8 выв.
Декоративное панно W 802;W 802 выв.
Карниз с узорчатой резьбой L=2,44м. C 159 -8;C 159-8 выв.
Декоративное панно W 8010 B;W 8010 B выв.
Декоративное панно W 8010 D;W 8010 D выв.
Орнамент A 989;A 989 выв.
Карниз с узорчатой резьбой L=2,44м. C 1033-8;C 1033-8 выв.
Кронштейн B 963;B 963 выв.
Молдинг L=2,44м. CR 605-8;CR 605-8 выв.
Карниз с узорчатой резьбой L=2,44м. C 1060-8;C 1060-8 выв.
Декоративное панно W 8010 С;W 8010 С выв.
Кронштейн B 813;B 813 выв.
Бордюр дверной D 598;D 598 выв.
Кронштейн B 814;B 814 выв.
Декоративное панно W 8054;W 8054 выв.
Декоративное панно W 8055;W 8055 выв.
Карниз с узорчатой резьбой L=2,44м. C 138-8;C 138-8 выв.
Молдинг L=2,44м. CR 610-8;CR 610-8 выв.
Карниз с гладким профилем L=2,44м. P 221-8;P 221-8 выв.
Молдинг L=2,44м. CR 610-8 flexi;CR 610-8 flexi выв.
Молдинг L=2,44м. CR 624-8;CR 624-8 выв.
Карниз с гладким профилем L=2,44м. P 202-8;P 202-8 выв.
Карниз с узорчатой резьбой L=2,44м. C 123-8;C 123-8 выв.
Карниз с гладким профилем L=2.44м. P 222-8;P 222-8 выв.
Карниз с гладким профилем L=2,44м. P 135-8;P 135-8 выв.
Карниз с гладким профилем L=2,44м. P 212-8 flexi;P 212-8 flexi выв.
Карниз с гладким профилем L=2,44м. P 214-8;P 214-8 выв.
Карниз с узорчатой резьбой L=2,44м. C 1002-8;C 1002-8 выв.
Пилястр PL 558 L (капитель);PL 558 L выв.
Карниз с узорчатой резьбой L=2,44м. C 110-8;C 110-8 выв.
Карниз с гладким профилем L=2,44м. P 2024-8;P 2024-8 выв.
Карниз с узорчатой резьбой L=2,44м. C 129-8;C 129-8 выв.
Карниз с узорчатой резьбой L=2,44м. C 128-8;C 128-8 выв.
Карниз с гладким профилем L=2,44м. P 201-8;P 201-8 выв.
Карниз с гладким профилем L=2,44м. P 201-8 flexi;P 201-8 flexi выв.
Обрамление арок 1.55.003;1.55.003 *
Обрамление арок 1.55.001;1.55.001
Обрамление арок 1.55.002;1.55.002
